base_verb,english_meaning,ana,ni7na,inta,inte,into,huwe,hiyye,hinne
essere,to be,sono,siamo,sei,sei,siete,è,è,sono
avere,to have,ho,abbiamo,hai,hai,avete,ha,ha,hanno
fare,to do/to make,faccio,facciamo,fai,fai,fate,fa,fa,fanno
dire,to say,dico,diciamo,dici,dici,dite,dice,dice,dicono
andare,to go,vado,andiamo,vai,vai,andate,va,va,vanno
potere,to be able to/can,posso,possiamo,puoi,puoi,potete,può,può,possono
volere,to want,voglio,vogliamo,vuoi,vuoi,volete,vuole,vuole,vogliono
dovere,to have to/must,devo,dobbiamo,devi,devi,dovete,deve,deve,devono
sapere,to know,so,sappiamo,sai,sai,sapete,sa,sa,sanno
vedere,to see,vedo,vediamo,vedi,vedi,vedete,vede,vede,vedono
dare,to give,do,diamo,dai,dai,date,dà,dà,danno
stare,to stay/to be,sto,stiamo,stai,stai,state,sta,sta,stanno
uscire,to go out,esco,usciamo,esci,esci,uscite,esce,esce,escono
venire,to come,vengo,veniamo,vieni,vieni,venite,viene,viene,vengono
parlare,to speak,parlo,parliamo,parli,parli,parlate,parla,parla,parlano
prendere,to take,prendo,prendiamo,prendi,prendi,prendete,prende,prende,prendono
trovare,to find,trovo,troviamo,trovi,trovi,trovate,trova,trova,trovano
lasciare,to leave/to let,lascio,lasciamo,lasci,lasci,lasciate,lascia,lascia,lasciano
pensare,to think,penso,pensiamo,pensi,pensi,pensate,pensa,pensa,pensano
passare,to pass/to spend time,passo,passiamo,passi,passi,passate,passa,passa,passano
mettere,to put,metto,mettiamo,metti,metti,mettete,mette,mette,mettono
portare,to bring/to carry,porto,portiamo,porti,porti,portate,porta,porta,portano
tenere,to hold/to keep,tengo,teniamo,tieni,tieni,tenete,tiene,tiene,tengono
capire,to understand,capisco,capiamo,capisci,capisci,capite,capisce,capisce,capiscono
sentire,to hear/to feel,sento,sentiamo,senti,senti,sentite,sente,sente,sentono
guardare,to watch/to look,guardo,guardiamo,guardi,guardi,guardate,guarda,guarda,guardano
chiedere,to ask,chiedo,chiediamo,chiedi,chiedi,chiedete,chiede,chiede,chiedono
rispondere,to answer,rispondo,rispondiamo,rispondi,rispondi,rispondete,risponde,risponde,rispondono
cercare,to look for,cerco,cerchiamo,cerchi,cerchi,cercate,cerca,cerca,cercano
mangiare,to eat,mangio,mangiamo,mangi,mangi,mangiate,mangia,mangia,mangiano
bere,to drink,bevo,beviamo,bevi,bevi,bevete,beve,beve,bevono
dormire,to sleep,dormo,dormiamo,dormi,dormi,dormite,dorme,dorme,dormono
lavorare,to work,lavoro,lavoriamo,lavori,lavori,lavorate,lavora,lavora,lavorano
studiare,to study,studio,studiamo,studi,studi,studiate,studia,studia,studiano
imparare,to learn,imparo,impariamo,impari,impari,imparate,impara,impara,imparano
scrivere,to write,scrivo,scriviamo,scrivi,scrivi,scrivete,scrive,scrive,scrivono
leggere,to read,leggo,leggiamo,leggi,leggi,leggete,legge,legge,leggono
camminare,to walk,cammino,camminiamo,cammini,cammini,camminate,cammina,cammina,camminano
correre,to run,corro,corriamo,corri,corri,correte,corre,corre,corrono
arrivare,to arrive,arrivo,arriviamo,arrivi,arrivi,arrivate,arriva,arriva,arrivano
partire,to leave/to depart,parto,partiamo,parti,parti,partite,parte,parte,partono
tornare,to return,torno,torniamo,torni,torni,tornate,torna,torna,tornano
entrare,to enter,entro,entriamo,entri,entri,entrate,entra,entra,entrano
salire,to go up/to get on,salgo,saliamo,sali,sali,salite,sale,sale,salgono
scendere,to go down/to get off,scendo,scendiamo,scendi,scendi,scendete,scende,scende,scendono
comprare,to buy,compro,compriamo,compri,compri,comprate,compra,compra,comprano
vendere,to sell,vendo,vendiamo,vendi,vendi,vendete,vende,vende,vendono
pagare,to pay,pago,paghiamo,paghi,paghi,pagate,paga,paga,pagano
costare,to cost,costo,costiamo,costi,costi,costate,costa,costa,costano
aprire,to open,apro,apriamo,apri,apri,aprite,apre,apre,aprono
chiudere,to close,chiudo,chiudiamo,chiudi,chiudi,chiudete,chiude,chiude,chiudono
