arabizi_sentence,english_translation
"Bonjour, comment allez-vous ?","Hello, how are you?"
Je m'appelle Claire.,My name is Claire.
Comment tu t'appelles ?,What is your name?
Enchanté de vous rencontrer.,Nice to meet you.
Merci beaucoup pour votre aide.,Thank you very much for your help.
"De rien, c'est normal.","You're welcome, it's normal."
"À bientôt, mon ami.","See you soon, my friend."
Bonne nuit et à demain.,Good night and see you tomorrow.
Quel âge as-tu ?,How old are you?
J'ai vingt-cinq ans.,I am twenty-five years old.
D'où viens-tu ?,Where do you come from?
Je viens de Paris.,I come from Paris.
Ma mère est très gentille.,My mother is very kind.
Mon père travaille dans un bureau.,My father works in an office.
J'ai deux frères et une sœur.,I have two brothers and a sister.
Mes grands-parents habitent à la campagne.,My grandparents live in the countryside.
Ma sœur aime beaucoup les animaux.,My sister loves animals a lot.
Nous avons une grande famille.,We have a big family.
Mon frère étudie à l'université.,My brother studies at university.
Sa femme est médecin.,His wife is a doctor.
Leur fils va à l'école.,Their son goes to school.
Ton oncle habite près de chez nous.,Your uncle lives near our place.
Ma tante prépare le dîner ce soir.,My aunt is preparing dinner tonight.
Le bébé dort dans sa chambre.,The baby is sleeping in his room.
Mes cousins arrivent demain matin.,My cousins arrive tomorrow morning.
Nous célébrons l'anniversaire de mon père.,We are celebrating my father's birthday.
Mon mari fait la cuisine ce soir.,My husband is cooking tonight.
"Je voudrais un café, s'il vous plaît.","I would like a coffee, please."
Tu aimes le fromage français ?,Do you like French cheese?
Nous mangeons du pain et du beurre.,We eat bread and butter.
Elle boit un verre d'eau.,She drinks a glass of water.
Ils préparent une soupe de légumes.,They are preparing a vegetable soup.
"J'ai faim, allons au restaurant.","I am hungry, let's go to the restaurant."
Ce gâteau au chocolat est délicieux.,This chocolate cake is delicious.
Le petit-déjeuner est prêt.,Breakfast is ready.
Nous prenons le déjeuner à midi.,We have lunch at noon.
Il boit du vin avec son dîner.,He drinks wine with his dinner.
Les enfants adorent les fraises.,The children love strawberries.
Peux-tu acheter du lait et des œufs ?,Can you buy milk and eggs?
Je préfère le thé au café.,I prefer tea to coffee.
Cette pomme est très bonne.,This apple is very good.
Nous choisissons un bon restaurant ce soir.,We are choosing a good restaurant tonight.
Le serveur apporte le menu.,The waiter brings the menu.
Ajoute un peu de sel et de poivre.,Add a little salt and pepper.
Mon plat préféré est le poulet rôti.,My favorite dish is roast chicken.
Ils mangent du riz tous les jours.,They eat rice every day.
La cuisine sent très bon.,The kitchen smells very good.
Nous buvons du jus d'orange le matin.,We drink orange juice in the morning.
Le fromage et le vin vont bien ensemble.,Cheese and wine go well together.
Je mange une pomme chaque matin.,I eat an apple every morning.
Elle prépare le petit-déjeuner pour les enfants.,She prepares breakfast for the children.
Ce restaurant sert de très bons plats.,This restaurant serves very good dishes.
Notre maison a un grand jardin.,Our house has a big garden.
La cuisine est à côté du salon.,The kitchen is next to the living room.
Je range ma chambre chaque semaine.,I tidy my room every week.
Les clés sont sur la table.,The keys are on the table.
Il ferme la fenêtre parce qu'il fait froid.,He closes the window because it's cold.
Nous avons un canapé confortable dans le salon.,We have a comfortable sofa in the living room.
La porte de la maison est ouverte.,The door of the house is open.
Mon lit est très confortable.,My bed is very comfortable.
Ils habitent dans un petit appartement.,They live in a small apartment.
Le miroir est dans la salle de bain.,The mirror is in the bathroom.
J'aime beaucoup notre nouveau jardin.,I really like our new garden.
Les enfants jouent dans le jardin.,The children are playing in the garden.
Nous nettoyons la maison ce week-end.,We are cleaning the house this weekend.
La chambre de mon fils est bleue.,My son's bedroom is blue.
Le chat dort sur le canapé.,The cat is sleeping on the sofa.
Je travaille dans un grand bureau.,I work in a big office.
Les élèves étudient pour l'examen.,The students are studying for the exam.
Mon professeur explique bien la leçon.,My teacher explains the lesson well.
Nous avons une réunion importante demain.,We have an important meeting tomorrow.
Elle travaille beaucoup pour son examen.,She works a lot for her exam.
Les enfants vont à l'école à pied.,The children go to school on foot.
J'apprends le français depuis un an.,I have been learning French for a year.
Le professeur donne beaucoup de devoirs.,The teacher gives a lot of homework.
Mon collègue arrive toujours en retard.,My colleague always arrives late.
Nous choisissons nos livres ensemble.,We choose our books together.
Elle écrit un livre intéressant.,She is writing an interesting book.
Les étudiants lisent beaucoup de livres.,The students read a lot of books.
Mon patron est très gentil avec nous.,My boss is very kind to us.
Je finis mon travail avant six heures.,I finish my work before six o'clock.
Ils cherchent un nouveau bureau.,They are looking for a new office.
Nous étudions ensemble à la bibliothèque.,We study together at the library.
Le professeur explique une leçon difficile.,The teacher explains a difficult lesson.
Les vacances commencent la semaine prochaine.,Vacation starts next week.
Il fait très chaud aujourd'hui.,It is very hot today.
"En hiver, il neige souvent ici.","In winter, it often snows here."
Le ciel est gris ce matin.,The sky is gray this morning.
J'aime le printemps parce qu'il fait beau.,I love spring because it's nice out.
Il pleut beaucoup en automne.,It rains a lot in autumn.
Le soleil est très fort aujourd'hui.,The sun is very strong today.
Il y a beaucoup de vent ce soir.,There is a lot of wind tonight.
Nous adorons l'été et la plage.,We love summer and the beach.
Il fait froid en hiver à Paris.,It is cold in winter in Paris.
Un orage arrive cet après-midi.,A storm is coming this afternoon.
Il y a beaucoup de nuages aujourd'hui.,There are a lot of clouds today.
La neige tombe sur la montagne.,Snow falls on the mountain.
Nous voyageons en France cet été.,We are traveling in France this summer.
Le train part dans dix minutes.,The train leaves in ten minutes.
Ils prennent l'avion pour aller à Rome.,They take the plane to go to Rome.
Je vais à la gare à pied.,I go to the train station on foot.
Elle conduit sa voiture tous les jours.,She drives her car every day.
Nous montons dans le bus.,We get on the bus.
Le taxi arrive devant l'hôtel.,The taxi arrives in front of the hotel.
Ils descendent à la prochaine gare.,They get off at the next station.
J'oublie toujours mon passeport.,I always forget my passport.
Nous partons en voyage demain matin.,We are leaving on a trip tomorrow morning.
Le vélo est devant la maison.,The bicycle is in front of the house.
Elle arrive à l'aéroport tôt.,She arrives at the airport early.
Nous cherchons un bon hôtel en ville.,We are looking for a good hotel in the city.
Le bateau est sur la rivière.,The boat is on the river.
Ils visitent une nouvelle ville chaque année.,They visit a new city every year.
Ma valise est trop lourde.,My suitcase is too heavy.
Nous achetons les billets à la gare.,We buy the tickets at the station.
Notre voyage commence dans trois heures.,Our trip starts in three hours.
Cette route va à la mer.,This road goes to the sea.
J'aime beaucoup voyager en train.,I really like traveling by train.
Combien coûte cette robe ?,How much does this dress cost?
Ce magasin vend des vêtements pour enfants.,This store sells children's clothing.
Je cherche une chemise blanche.,I am looking for a white shirt.
C'est trop cher pour moi.,It's too expensive for me.
Elle paie avec sa carte.,She pays with her card.
Nous achetons des cadeaux pour Noël.,We are buying gifts for Christmas.
Ce marché vend beaucoup de fruits et légumes.,This market sells a lot of fruit and vegetables.
J'ai besoin d'argent pour le voyage.,I need money for the trip.
Le vendeur nous aide à choisir.,The salesperson helps us choose.
Cette veste est en réduction aujourd'hui.,This jacket is discounted today.
Nous payons la facture chaque mois.,We pay the bill every month.
Ils vendent leur voiture cette semaine.,They are selling their car this week.
Je n'ai pas assez d'argent.,I don't have enough money.
Ces chaussures sont trop chères pour moi.,These shoes are too expensive for me.
Le client attend sa monnaie.,The customer is waiting for his change.
Je suis malade depuis hier.,I have been sick since yesterday.
Le docteur regarde mes yeux.,The doctor is looking at my eyes.
Elle a mal à la tête.,She has a headache.
Nous allons à la pharmacie.,We are going to the pharmacy.
Mon frère a de la fièvre.,My brother has a fever.
Il faut prendre ce médicament trois fois par jour.,You have to take this medicine three times a day.
Je me sens beaucoup mieux aujourd'hui.,I feel much better today.
Elle a mal au ventre.,She has a stomach ache.
Le médecin explique la maladie.,The doctor explains the illness.
Mes yeux me font mal ce soir.,My eyes hurt tonight.
Il tousse depuis trois jours.,He has been coughing for three days.
Nous devons rester au lit aujourd'hui.,We have to stay in bed today.
Sa jambe lui fait très mal.,His leg hurts him a lot.
L'hôpital est loin de chez nous.,The hospital is far from our house.
Je suis très content de te voir.,I am very happy to see you.
Elle est triste parce qu'il pleut.,She is sad because it's raining.
Nous sommes fatigués après le travail.,We are tired after work.
Il a peur des chiens.,He is afraid of dogs.
Je t'aime beaucoup.,I love you a lot.
Elle sourit tout le temps.,She smiles all the time.
Ils sont heureux de partir en vacances.,They are happy to go on vacation.
Mon frère est fâché contre moi.,My brother is angry with me.
Nous sommes contents de te revoir.,We are happy to see you again.
Cette nouvelle me rend très heureux.,This news makes me very happy.
Elle pleure parce qu'elle est triste.,She is crying because she is sad.
J'espère que tu vas bien.,I hope you are doing well.
Il rit quand il regarde ce film.,He laughs when he watches this movie.
Je me lève tôt le matin.,I get up early in the morning.
Nous prenons le petit-déjeuner ensemble.,We have breakfast together.
Elle part au travail à huit heures.,She leaves for work at eight o'clock.
Il rentre à la maison le soir.,He comes home in the evening.
Nous regardons la télévision après le dîner.,We watch television after dinner.
Je lis un livre avant de dormir.,I read a book before sleeping.
Elle écoute de la musique dans sa chambre.,She listens to music in her room.
Nous jouons au football le week-end.,We play soccer on the weekend.
Il aide sa mère à la maison.,He helps his mother at home.
Je réponds à mes messages chaque matin.,I answer my messages every morning.
Nous invitons nos amis pour le dîner.,We are inviting our friends for dinner.
Elle chante très bien.,She sings very well.
Il danse avec sa femme.,He dances with his wife.
Nous nageons dans la mer chaque été.,We swim in the sea every summer.
Je cours dans le parc tous les matins.,I run in the park every morning.
Il conduit bien en ville.,He drives well in the city.
Nous rencontrons nos voisins ce soir.,We are meeting our neighbors tonight.
Elle appelle sa mère chaque dimanche.,She calls her mother every Sunday.
Je change de vêtements avant de sortir.,I change clothes before going out.
Nous continuons notre travail demain.,We continue our work tomorrow.
Il ferme la porte.,He closes the door.
Elle ouvre la fenêtre le matin.,She opens the window in the morning.
Nous attendons le bus depuis vingt minutes.,We have been waiting for the bus for twenty minutes.
Je perds toujours mes clés.,I always lose my keys.
Il trouve son livre sur la table.,He finds his book on the table.
Nous décidons de rester à la maison.,We decide to stay home.
Elle offre un cadeau à sa sœur.,She gives a gift to her sister.
Je porte un manteau car il fait froid.,I wear a coat because it's cold.
Nous montrons nos photos de vacances.,We show our vacation photos.
Il envoie un message à son ami.,He sends a message to his friend.
Qu'est-ce que tu fais ce soir ?,What are you doing tonight?
Où habites-tu maintenant ?,Where do you live now?
Pourquoi es-tu si fatigué ?,Why are you so tired?
Quand arrive le train ?,When does the train arrive?
Comment vas-tu aujourd'hui ?,How are you today?
Qui vient avec nous ce soir ?,Who is coming with us tonight?
Je ne comprends pas cette leçon.,I don't understand this lesson.
Nous n'avons pas assez de temps.,We don't have enough time.
Il ne mange jamais de viande.,He never eats meat.
Elle ne sait pas où aller.,She doesn't know where to go.
Tu ne travailles pas aujourd'hui ?,Aren't you working today?
Je n'aime pas ce restaurant.,I don't like this restaurant.
Ils ne parlent pas anglais.,They don't speak English.
Nous ne sortons pas ce soir.,We are not going out tonight.
Est-ce que tu as faim ?,Are you hungry?
Est-ce que vous parlez français ?,Do you speak French?
Combien de frères as-tu ?,How many brothers do you have?
Quel âge a ton fils ?,How old is your son?
Quelle heure est-il maintenant ?,What time is it now?
Pourquoi ne réponds-tu pas ?,Why aren't you answering?
Le chien court dans le jardin.,The dog runs in the garden.
