italian_sentence,english_translation
Io sono felice.,I am happy.
Tu sei stanco.,You are tired.
Lui è un uomo buono.,He is a good man.
Lei è una donna simpatica.,She is a nice woman.
Noi siamo amici.,We are friends.
Voi siete giovani.,You all are young.
Loro sono felici.,They are happy.
"Sì, grazie mille.","Yes, thank you very much."
"No, va bene così.","No, that's fine."
"Va bene, grazie.","Fine, thank you."
Come stai oggi?,How are you today?
Dove abiti ora?,Where do you live now?
Che cosa fai?,What are you doing?
Chi è il tuo amico?,Who is your friend?
Perché sei stanco?,Why are you tired?
Quando arrivi a casa?,When do you arrive home?
Quanto costa questo?,How much does this cost?
Io ho una famiglia grande.,I have a big family.
Mia madre lavora in ufficio.,My mother works in an office.
Mio padre è un buon insegnante.,My father is a good teacher.
Il mio fratello studia all'università.,My brother studies at the university.
La mia sorella legge un libro.,My sister reads a book.
I miei nonni abitano in città.,My grandparents live in the city.
Mio zio guida una macchina nuova.,My uncle drives a new car.
Mia zia cucina molto bene.,My aunt cooks very well.
Il marito e la moglie viaggiano insieme.,The husband and wife travel together.
I genitori amano i figli.,Parents love their children.
Il bambino gioca con il cane.,The child plays with the dog.
Il ragazzo parla con la ragazza.,The boy talks with the girl.
Ho un amico simpatico.,I have a likeable friend.
Mangio pane e formaggio.,I eat bread and cheese.
Bevo acqua ogni giorno.,I drink water every day.
"Voglio un caffè, per favore.","I want a coffee, please."
Lei beve il tè con zucchero.,She drinks tea with sugar.
Noi mangiamo pasta a pranzo.,We eat pasta for lunch.
Loro mangiano pizza a cena.,They eat pizza for dinner.
Il pollo è nel piatto.,The chicken is on the plate.
Il pesce costa molto al mercato.,The fish costs a lot at the market.
Mi piace la frutta fresca.,I like fresh fruit.
Compro una mela e un pomodoro.,I buy an apple and a tomato.
Il riso è buono con il pesce.,Rice is good with fish.
Il vino rosso è forte.,The red wine is strong.
La birra è fredda.,The beer is cold.
Preferisco il succo al vino.,I prefer juice to wine.
Il dolce è molto buono.,The dessert is very good.
Il gelato al cioccolato è il mio preferito.,Chocolate ice cream is my favorite.
Facciamo colazione alle otto.,We have breakfast at eight.
Il pranzo è pronto.,Lunch is ready.
La cena è alle sette di sera.,Dinner is at seven in the evening.
Ho fame e ho sete.,I am hungry and thirsty.
Il cameriere porta il conto.,The waiter brings the bill.
Prendo un cucchiaio e una forchetta.,I take a spoon and a fork.
