spanish_sentence,english_translation
"Hola, ¿cómo estás?","Hello, how are you?"
Buenos días a todos.,Good morning everyone.
"Buenas noches, mamá.","Good night, mom."
¿Cómo te llamas?,What is your name?
Me llamo Carlos.,My name is Carlos.
"Mucho gusto, señor García.","Nice to meet you, Mr. García."
Soy de España.,I am from Spain.
¿De dónde eres tú?,Where are you from?
"Adiós, hasta mañana.","Goodbye, see you tomorrow."
Gracias por tu ayuda.,Thanks for your help.
"De nada, amigo.","You're welcome, friend."
Lo siento mucho.,I am very sorry.
Mi familia es grande.,My family is big.
Tengo dos hermanos.,I have two brothers.
Mi madre trabaja en un hospital.,My mother works in a hospital.
Mi padre es médico.,My father is a doctor.
Vivo con mis abuelos.,I live with my grandparents.
Mi hermana tiene un hijo.,My sister has a son.
Mi tío vive en la ciudad.,My uncle lives in the city.
Mi tía nos visita cada semana.,My aunt visits us every week.
Amo a mi familia.,I love my family.
Mis primos juegan en el jardín.,My cousins play in the garden.
Mi esposa cocina muy bien.,My wife cooks very well.
Mi esposo trabaja en una oficina.,My husband works in an office.
Nuestros hijos van a la escuela.,Our children go to school.
Mi abuela cuenta historias bonitas.,My grandmother tells pretty stories.
Mi novio me escribe cartas.,My boyfriend writes me letters.
Ella es mi mejor amiga.,She is my best friend.
Tenemos una familia feliz.,We have a happy family.
Mi hija estudia en la universidad.,My daughter studies at the university.
Mi nieto tiene tres años.,My grandson is three years old.
Queremos mucho a nuestros padres.,We love our parents very much.
Me levanto temprano cada día.,I get up early every day.
Trabajo desde las ocho.,I work from eight o'clock.
Como el desayuno con mi familia.,I eat breakfast with my family.
Voy a la escuela por la mañana.,I go to school in the morning.
Vuelvo a casa por la tarde.,I return home in the afternoon.
Como la cena con mis padres.,I eat dinner with my parents.
Duermo ocho horas cada noche.,I sleep eight hours every night.
Hoy es un buen día.,Today is a good day.
Mañana tengo mucho trabajo.,Tomorrow I have a lot of work.
Siempre llego temprano al trabajo.,I always arrive early to work.
Nunca llego tarde a clase.,I never arrive late to class.
Ahora vivo en una ciudad grande.,Now I live in a big city.
Necesito más tiempo libre.,I need more free time.
Este año voy a viajar mucho.,This year I am going to travel a lot.
Empiezo mis clases mañana.,I start my classes tomorrow.
Todos los días leo un libro.,Every day I read a book.
Los fines de semana descanso mucho.,On weekends I rest a lot.
Esta tarde voy al mercado.,This afternoon I am going to the market.
Ayer trabajé todo el día.,Yesterday I worked all day.
Mañana visito a mis abuelos.,Tomorrow I visit my grandparents.
Hoy quiero comer algo.,Today I want to eat something.
Tengo veinte años.,I am twenty years old.
Mi hermano tiene treinta años.,My brother is thirty years old.
El examen es en dos semanas.,The exam is in two weeks.
Necesito descansar un poco.,I need to rest a little.
Me gusta el café por la mañana.,I like coffee in the morning.
Bebo té todas las tardes.,I drink tea every afternoon.
Comemos pan y queso.,We eat bread and cheese.
"Quiero agua, por favor.","I want water, please."
"Sí, quiero un café con leche.","Yes, I want a coffee with milk."
El pollo está muy rico.,The chicken is very delicious.
Preparo la cena para mi familia.,I prepare dinner for my family.
Cocino arroz con pollo.,I cook rice with chicken.
Me gustan las frutas y las verduras.,I like fruits and vegetables.
Compro pan en la tienda.,I buy bread at the store.
El restaurante sirve comida muy rica.,The restaurant serves very delicious food.
Necesitamos azúcar y sal.,We need sugar and salt.
