arabizi_sentence,english_translation
Badak beit hon bi heyda mahal,Do you want a house here in this area?
Ma ma3oh bernemjo.,He doesn't have his schedule with him.
3anda ktir ejtime3 mohem l'yom.,She has a very important meeting today.
Ma ma3e kiteb l'yom.,I don't have my book with me today.
Badon masari,They need change of money.
Badon telephono.,They want his number.
"Ma ande chi l'yom, nushkur allah.","I don't have anything today, thank God."
Bado ID jdideh; ID adimeh ma fia ismo sa7,He wants a new ID; his old ID didn't have his correct name.
3anda siara ktir ishiya,The car has a lot of things.
L'aghwe fia sukre.,The coffee has sugar.
"L'kitab ktir 7elo, bas fiho ktir war2ah.","The book is very nice, but it has a lot of papers."
Bade telephone jdid. Heydak telephone mish mni7.,I want a new phone. This phone is bad.
Ma ken bado sandwich.,He didn't want a sandwich.
Sa7eb l'beite 3ando beit 7elo.,My landlord has a beautiful house.
Zoumala2i ma badon mashrou3 jdid li2an ma 3andon wa2et.,Our colleagues don't want a new project because they don't have time.
"Jubran Khalil Jubran ken ketib mhem, 3ando kteer kteb.","Jubran Khalil Jubran was an important writer, he had a lot of books."
"Baddun daftar, war2ah, w alam ilon la saf l'yom.","They will need a notebook, paper, and pen for today's class."
Hayda ma7al aghwe ma 3indun aghwe taybe.,This coffee shop didn't have delicious coffee.
Ma 3andna shighil l'yom.,We didn't have any work today.
"Ma 3ande ktir rfi2e, bas 3ande 3ayle kbire.","I don't have a lot of friends, but I have a big family."
Fi 7ada 3ala l-beb.,There is someone at the door.
3anjad?!,Really?!
"Mar7aba monsieur, kif bse3dak?","Hello sir, how can I help you?"
Inta Naji?,Are you Naji?
Eh! Lesh? Shu fi?,Yes! Why? What's wrong?
Fi 7ada min mat3am Bawai al inno inta ma btedfa3 7sebak.,There is a person from Badawi restaurant said that you did not pay your bill.
"Shu? Akid la, monsieur!",What? Definitely not true sir!
Mm. Fi 7ada bil beit?,Hmm. Is there someone in the house?
Eh. Hon beit Mira w hiyye hon.,Yes. This is Mira's house. And she is here.
Meen Mira?,Who is Mira?
Ref2ite bil sheghel w sa7ebet l'beit.,My colleague and the landlord.
Wayna?,Where is she?
Ana hon! Fi shi?,I am here. Something wrong?
"Marhaba Mira, mat3am Badawi al inno monsieur Naji ma dafa3 7sebo.","Hello Mira, Badawi restaurant said that mister Naji didn't pay his bill."
bade war2a min l'mat3am.,Please I want the paper from the restaurant.
Tfadale.,Here you go!
Naji refi2e w huwwe hadda ktir mni7. Akide fi shi ghalat.,Naji is my friend and he is a very good person. I am sure there is something wrong!
"Madame, ana akid.",Madam I'm sure.
"ism Najib bil war2a, mish Naji.",Sir the paper says Najib! And his name is Naji not Najib!
3anjad! badde l'hawiyye.,Really? Please I want your ID?
Inte bil beit ghalat!,You are in the wrong house!
Heyda beit Mira w mish beite.,This is Mira's house and not my house! The restaurant doesn't have this house address!
"Hayda saf Sa3eb la 2elo, bado saf ashal.","This is a difficult class for him, he wants an easier class."
"Hayda saf Sa3eb la ela, 7aykun bada saf ashal.","This will be a difficult class for her, she will want an easier class."
"Hayda saf Sa3eb la elun, ken badun saf ashal.","This was a difficult class for them, they wanted an easier class."
Sara 3enda kebeyeh ktir kbireh.,Sara has a very big cup.
Inta 7aykun 3endak kebeyeh ktir kbireh,You will have a very big cup.
Huwe ken 3endo kebeyeh ktir kbireh,He had a very big cup.
Kamal bado beit jdid.,Kamal wants a new house.
Hene 7aykun badun beit jdid,They will want a new house.
Hiye ken bada beit jdid,She wanted a new house.
Noor 3enda masareh kteer bilbank.,Noor has a lot of money in the bank.
Huwe 7aykun 3endo masareh kteer bilbank.,He will have a lot of money in the bank.
Enta ken 3endak masareh kteer bilbank.,You had a lot of money in the bank.
"El-taleb bado daftar, alam, w kteb jdeed 3ashen el-madraseh bukra.","The student wants a notebook, pen, and a new book for school tomorrow."
"Ni7na 7aykun badna daftar, alam, w kteb jdid 3ashen el-madraseh bukra.","We will want a notebook, pen, and a new book for school tomorrow."
"Ente ken badek daftar, alam, w kteb jdid 3ashen el-madraseh bukra.","You wanted a notebook, pen, and a new book for school tomorrow."
Bade kebeyeh tenyeh lal ahweh 3ashen haydeh el-kebeyeh fiha chai.,I want another cup for the coffee because this cup has tea in it.
Ento badkon kebeyeh tenyeh lal ahweh 3ashen haydeh el-kebeyeh fiha chai.,You want another cup for the coffee because this cup has tea in it.
Hene badon kebeyeh tenyeh lal ahweh 3ashen haydeh el-kebeyeh fiha chai.,They want another cup for the coffee because this cup has tea in it.
3endek madraseh el-yom?,Do you have school today?
Huwe 7akun 3endak madraseh el-yom?,Will he have school today?
Hiye ken 3endek madreseh el-yom?,Did she have school today?
Ma3ak bakhsheesh lal garson?,Do you have tips for the waiter?
Ente 7aykun ma3ek baksheesh lal garson,Will you have tips for the waiter?
Hiye ken ma3a baksheesh lal garson,Did she have tips for the waiter?
Law sama7et bade el-fatourah iza bitreed.,"If you allow me, I want the bill."
Ni7na law sama7et 7akun badna el-fatourah iza bitreed.,"If you allow us, we will want the bill if you wish."
Hene law sama7et ken badon el-fatourah iza bitreed.,"If they allow, they wanted the bill if you wish."
Bado beit jdeed w shoghol jdeed.,He wants a new house and a new job.
Ne7na 7aykun badna beit jdeed w shoghol jdeed.,We will want a new house and a new job.
Heye ken bada beit jdeed w shoghol jdeed.,She wanted a new house and a new job.
"Heyde ahwet starbucks teybeh ktir, bas bade kamen akel.","This Starbucks coffee is really delicious, but I also want food."
Aklon 3azim bas ghale.,Their food is great but it's expensive.
"Beite ndif, bas beitak wesekh.","My house is clean, but your house is dirty."
Heydak saf ktir sa3eb.,That class was really difficult.
"siyarte sari3a w jdide. Ken 3ande siyara 2adime, bas kenit bati2a ktir.","My car is fast and it's new. I had an old car, but it was very slow."
Hayda alam ele. Hayda tawle elak.,That pen is mine. That table is yours.
"Heyde jibne taybe, bade bira w nbeed ma3a.",This cheese is delicious. I need beer and wine with it!
Ma3ak masare? Bade srafe.,Do you have money on you? I need change.
"Heyda shab 7elo sa7be, w kteer zakey, tayeb, w karim.","This handsome guy is my boyfriend, and he is very smart, kind hearted, and generous."
3ande daftar jdid.,I have a new notebook.
"3ande ktir fared, w kteer sa3eb w 3ande so2al elak.",I have a lot of homework and it's very difficult and I also have a question for you.
Ahlak kteer tayeb.,Your parents are very kind.
3ande kteer shichel w mudire kteer sa2eal.,I have a lot of work and my boss is very annoying.
"Heyda beit kbir, 7elo, jdid, w ghaly.","This house is big, beautiful, new, and expensive."
Heyda wine fiyo sikkar.,This wine contains a lot of sugar.
Heyde 3ayletna 7elwe.,This is our beautiful family.
"Heyda beit elkun, mish ele.","This house is yours, not mine."
"3andak kitebe? ken 3ande kitebak, bas ma ma3e halla2.","Do you have my book? I had your book, but I don't have it with me now."
Ken 3inna ijtime3 kteer sa3eb l'yom.,We had a very difficult meeting today.
Ma Ken 3inna forsah. Badna akel w ahwe.,We didn't have a break. We need food and coffee.
Haydek beit estez Youssef w madame Sabrina. Haydek beit elun.,That is the house of professor Youssef and madame Sabrina. That house is theirs.
Hayda kteb 7elo la Tamara. Hayda kteb 7elo ela.,This is a nice book for Tamara. This nice book is hers.
Hayde siyara la Lucas. Hayde siyara elo.,This is a car for Lucas. This car is his.
Hayde l-fetoura la Joelle w ele w Mama w John. Hayde l-fetoura elna.,This is the bill for Joelle and me and Mama and John. This bill is ours.
Heyde war2a la Jana.,This paper is for Jana.
Ana ze3lene menik,You make me sad
Ana ze3lene 3layke,I am sad for you (about something that happens to you)
hayde siyara la Carole,This car belongs to Carole
ana edem l-madrase,I am in front of the school
ana wara Carole,I am behind Carole
fi bared barra,It is cold outside
fi bared juwa,It is cold inside
"l-kteb fo2, 3a shelf","The book is up, on the shelf"
kteb ta7et tawle,The book is under the table
l-3asha 2abel se3a 8,Dinner is before 8 o'clock
l-ghada ba3ed se3a 2,Lunch is after 2 o'clock
Ana 3ayshe bi Beirut,I live in Beirut
7sebe bi l-bank fade,My account in the bank is empty
L-akel 3ala l-tawle,The food is on the table
"Fi 7ada 3a l-beb, asmak Ahmad","There is someone at the door, his name is Ahmad"
L-yom mish 7elho li2an 3am tshate,Today is not nice because it is rainy
Ma3joo2 bi shighil l'yom.,I'm busy with work today.
"Masari juwa shante, bas ma 3ande change.","The money is inside my bag, but I don't have any change!"
When jareede? Bade yeha halla2!,Where is the newspaper? I need it now!
Mu2abaltak ma3 monsieur George bukra w mish l'yom.,Your interview with mister George is tomorrow and not today.
Hayda chai fiyo sukre? Li2an ma bade sukre bi chai tab3ule.,Does this tea have sugar? Because I don't want sugar in my tea.
Haydak restaurant ktir tayeb w huwe 7ad beite.,That restaurant is very delicious and it's next to my house.
Siarte ta7et.,My car is downstairs.
"Baynak w bayne, bades shighil jdid.","Between you and I, I need a new job."
Fweke fiya ktir sukre?,Do fruits contain a lot of sugar?
Badon soura ma3na.,They want a picture with us.
"Kel sabaḥ, 3a tirwee2a bekul nos w wa7ed finjen ahwe.","Every morning, for breakfast I eat half and one cup of coffee."
Ba3den bru7 3a shighil.,Then I go to work.
Shirel fi free moz.,At work there are free bananas.
Ben tirwee2a w ghada bekul moz.,Between breakfast and lunch I eat bananas.
"Ghada bekul meal prep w beshrab finjen cappuccino ma3 vanilla sirup, mish sukre.","For lunch I eat meal prep and drink a cup of cappuccino with vanilla syrup, not sugar."
"Akhiran, Julia w ana mnetbukh 3asha.","Finally, Julia and I cook dinner."
7et chapeau 3a rasak.,Put a hat on your head (stop thinking).
"Kel subu7, tirwee2te fiya beid w avoca w la7me jibne, w kamen fenjenn 2ahwe.","Every morning, my breakfast has eggs, avocado, meat, cheese, and also a cup of coffee."
"3al ghada, fi 3aseer orang w mlookhiye w tabue w batata me2liye.","For lunch, there is orange juice, molokhia, tabbouleh, and fried potatoes."
3asheye fiyo teffe7a w djej ma3 7aleeb w khalas.,In the evening there is an apple and chicken with milk and that's it.
"3ashar, nhar Sunday, fiyo kibbe.","For dinner, on Sunday, there is kibbeh."
"3ande ghada ma3 ref2ate, fiyo burgers.","I have lunch with my friends, there are burgers."
Heye bit7eb tedhar kil yom ba3ed el-shighil.,She likes to go out every day after work.
Ana bade ektob kteb.,I want to write a book.
Huwe ma bya3ref ye2ra yektob.,He doesn't know how to read or write.
Heye bteshteghel bi sherke kteer kbire.,She works at a very big company.
Enta btes2al as2elah kteer b el-saf.,You ask a lot of questions in class.
Angie betalfen kil yom 3ashen btetlob akel min el-mat3am.,Angie calls every day because she orders food from the restaurant.
Jad ma byeshrab.,Jad doesn't drink alcohol.
Ana bnem kil yom ba3ed el-shighil.,I sleep every day after work.
Lamin el-shantah? Bade shoof iza fiha masareh.,Whose bag is this? I want to see if there is money in it.
Hene byeskeno b manta2a hilwe b Lebnen bas 3aja2a ktir.,They live in a nice area in Lebanon but there is a lot of traffic.
Ni7na mnekhod el-bus kil yom 3ala el-shighil.,We take the bus every day to work.
Ana bedros 3arabe bi el-madraseh kil yom.,I study Arabic at school every day.
Enta btdros 3arabe bi el-madraseh kil yom.,You study Arabic at school every day.
Ni7na mndros 3arabe bi el-madraseh kil yom.,We study Arabic at school every day.
Ni7na ma badna nekol bi el-mat3am.,We don't want to eat at the restaurant.
Huwe ma bado yekol bi el-mat3am.,He doesn't want to eat at the restaurant.
Hiyye ma bada yekle bi el-mat3am.,She doesn't want to eat at the restaurant.
Huwe bado yeshtri kteb jdeed min el-maktabe.,He wants to buy a new book from the bookstore.
Hene badun yeshtro kteb jdeed min el-maktabe.,They want to buy a new book from the bookstore.
Ente badik teshtre kteb jdeed min el-maktabe.,You want to buy a new book from the bookstore.
Yemken teje el-yom 3ala shighil.,Maybe you will come to work today.
Huwe yemken yeje el-yom 3ala shighil.,Maybe he will come to work today.
Ento yemken tejo el-yom 3ala shighil.,Maybe you all will come to work today.
Yemken ekol bara w mish bi el-beit.,Maybe I will eat outside and not at home.
Ento yemken teklo bara w mish bi el-beit.,Maybe you all will eat outside and not at home.
Hene yemken yeklo bara w mish bi el-beit.,Maybe they will eat outside and not at home.
Bade 7ader lal mo2abale bukra.,I want to prepare for the interview tomorrow.
Huwe bado y7ader lal mo2abale bukra.,He wants to prepare for the interview tomorrow.
Enta badak t7ader lal mo2abale bukra.,You want to prepare for the interview tomorrow.
"3inna ejtime3 ktir mohem lyom, lezim 7ader 7ale.","We have a very important meeting today, I need to prepare myself."
"Enta 3indak ejitme3 ktir mohem lyom, lezim t7ader 7alak.","You have a very important meeting today, you need to prepare yourself."
"Ento 3indkon ejitme3 ktir mohem lyom, lezim t7adero 7alakun.","You all have a very important meeting today, you need to prepare yourselves."
Bada totlob akel min el-mat3am lyom li2ano ma bada totbokh.,She wants to order food from the restaurant today because she doesn't want to cook.
Huwe bado yotlob akel min el-mat3am lyom li2ano ma bado yotbokh.,He wants to order food from the restaurant today because he doesn't want to cook.
Ente badik totlobe akel min el-mat3am lyom li2ano ma badik totbokhe.,You want to order food from the restaurant today because you don't want to cook.
Huwe ma bya3ref ye2ra w yektob 3arabe.,He doesn't know how to read and write Arabic.
Ento ma bta3refo te2ro w tektbo 3arabe.,You (plural) don't know how to read and write Arabic.
Hiyye ma bta3ref te2ra w tektob 3arabe.,She doesn't know how to read and write Arabic.
Huwe byru7 3ala el-madraseh kil yom bi l-bus w byerja3 ma3 as7abo bi l-siyara.,He goes to school every day by bus and comes back with his friends in the car.
Ni7na mnru7 3ala el-madraseh kil yom bi l-bus w mnerja3 ma3 as7abna bi l-siyara.,We go to school every day by bus and come back with our friends in the car.
Siyaret John ktir sari3a.,John's car is really quick.
Forset easter 2arbe.,Easter break is near.
Se3et 3arabe ktir 7elwe.,The Arabic language hour is really beautiful.
Maktabet Antoine ktir kbire.,Antoine's library is really big.
Madraset Rita sa2eale.,Rita's school is annoying.
Hayde souret l'mat3am 2adime bas 7elue.,This picture of the restaurant is old but beautiful.
Mu2abaltak bukra w mish l'yom.,"Your interview is tomorrow, not today."
Tawletkun ghalye.,Their table is expensive.
Kerseta ktir ndife.,Her chair is really clean.
Ma fi shi.,There's nothing.
Kif ni7na mna3mul Tabulé bi Libnén?,How do we make Tabbouleh in Lebanon?
2awal shi ménghassél l-ba2dunés ktir mni7.,"First, we wash the parsley really well."
Téné shi mnéfrum l-ba2dunés né3im.,"Second, we chop the parsley finely."
W kamen mnéfrum l-banadura l-jabaliyé né3im.,And we also chop the mountain tomatoes finely.
Ba3den mnéfrum chwayet na3na3.,Then we chop a little mint.
Telit shi mnén2a3 l burghul bi 3asir haméd.,"Third, we soak the bulgur in lemon juice."
Ekhir shi mnukhlut kil shi ktir mni7.,"Last thing, we mix everything really well."
"W 2aléf Sa7tein, yalla Badkun shi?","And a thousand bon appétit, come on, do you want anything?"
B7ot la7me bi l-foren.,I put meat in the oven.
7atta tseer biniyye.,So that it becomes brown.
"Kil yom, Rita btekul tirwee2a.","Every day, Rita eats breakfast."
"Hiyye btet3allam arabe bi madraseh, w bteshrab may bas tkun 3atshene.","She learns Arabic at school, and she drinks water when she's thirsty."
"Btefham dares, w bt7eb as7aba.","She understands the lessons, and she loves her friends."
Deyman btitzakar farda.,She always remembers her homework.
"Btiktub notes bi daftara, w bt2ul ""mar7aba"" kil 7ada.","She writes notes in her notebook, and she says hello to everyone."
Bteskun bi beit srir.,She lives in a small house.
Btekhud l'bus 3a madraseh.,She takes the bus to school.
Bteshteghel projects bi'l beit.,She works on projects at home.
Btnem bakeer.,She sleeps early.
Btetlub help bas badda.,She asks for help when she needs it.
Btes2al so2al bi saf.,She asks questions in class.
Bta3ref jaweb aktar aw2at.,She knows the answers most of the time.
Btshuf 3ayleta kil weekend.,She sees her family every weekend.
Btedrus la exam.,She studies for the exam.
Bti7ke ma3 rif2ata.,She talks with her classmates.
Bte2ra kteb maktabeh.,She reads a book in the library.
Bte3mel farda.,She does her homework.
Btirja3 3al beit ba3ed madraseh.,She goes back home after school.
"Hiyye mama Emma btetbukh 3asha, w hiyye bteje 3ala tawle.","Her mother Emma cooks dinner, and she comes to the table."
Btidhar ma3 rif2ata 3ala jnene.,She goes out with her friends to the park.
Btetalfen la teta.,She calls her grandmother.
Btjeweb 3a so2ala.,She answers her questions.
