arabizi_sentence,english_translation
"Hallo, wie geht es dir?","Hello, how are you?"
"Guten Morgen, Mama!","Good morning, mom!"
"Guten Tag, Herr Schmidt.","Good day, Mr. Schmidt."
"Guten Abend, meine Damen und Herren.","Good evening, ladies and gentlemen."
"Gute Nacht, mein Kind.","Good night, my child."
Ich heiße Anna.,My name is Anna.
Wie heißt du?,What is your name?
Ich komme aus Deutschland.,I come from Germany.
Woher kommst du?,Where do you come from?
Danke schön für die Hilfe.,Thank you very much for the help.
"Bitte, nimm einen Stuhl.","Please, take a chair."
"Entschuldigung, wo ist der Bahnhof?","Excuse me, where is the train station?"
Auf Wiedersehen und bis morgen!,Goodbye and see you tomorrow!
"Tschüss, wir sehen uns bald.","Bye, we will see each other soon."
Es tut mir leid.,I am sorry.
Ich bin Student an der Universität.,I am a student at the university.
Mein Bruder ist Lehrer.,My brother is a teacher.
Wir sind eine große Familie.,We are a big family.
Er ist mein bester Freund.,He is my best friend.
Sie ist meine Kollegin.,She is my colleague.
Das ist mein Haus.,That is my house.
Wie alt bist du?,How old are you?
Ich bin zwanzig Jahre alt.,I am twenty years old.
Wo wohnst du jetzt?,Where do you live now?
Ich wohne in einer kleinen Wohnung.,I live in a small apartment.
Ich stehe jeden Tag früh auf.,I get up early every day.
Er duscht jeden Morgen.,He showers every morning.
Wir gehen jetzt nach Hause.,We are going home now.
Sie geht zur Arbeit.,She goes to work.
Ich fahre mit dem Auto zur Schule.,I drive to school by car.
Der Zug kommt um acht Uhr an.,The train arrives at eight o'clock.
Wir steigen in den Bus ein.,We get on the bus.
Sie steigen am Bahnhof aus.,They get off at the train station.
Das Flugzeug fliegt nach Berlin.,The airplane flies to Berlin.
Wann fährt der Zug ab?,When does the train depart?
Ich laufe jeden Abend im Park.,I run in the park every evening.
Die Kinder schwimmen im See.,The children swim in the lake.
Der Hund springt über den Zaun.,The dog jumps over the fence.
Ich komme später nach Hause.,I am coming home later.
Bleib bitte hier.,Please stay here.
Ich muss jetzt gehen.,I have to go now.
Kannst du mir helfen?,Can you help me?
Ich helfe meiner Mutter in der Küche.,I help my mother in the kitchen.
Wir treffen unsere Freunde im Park.,We are meeting our friends in the park.
Ich besuche meine Großeltern am Wochenende.,I visit my grandparents on the weekend.
Er geht abends immer spazieren.,He always goes for a walk in the evening.
Wir warten auf den Bus.,We are waiting for the bus.
Sie sucht ihre Schlüssel.,She is looking for her keys.
Ich putze am Samstag die Wohnung.,I clean the apartment on Saturday.
Er wäscht sein Auto.,He is washing his car.
Ich gehe jetzt schlafen.,I am going to sleep now.
Wir schlafen acht Stunden pro Nacht.,We sleep eight hours per night.
Meine Familie ist sehr wichtig für mich.,My family is very important to me.
Mein Vater arbeitet in einem Büro.,My father works in an office.
Meine Mutter kocht das Abendessen.,My mother cooks the dinner.
Ich habe zwei Brüder und eine Schwester.,I have two brothers and one sister.
Meine Großmutter wohnt in der Stadt.,My grandmother lives in the city.
Mein Onkel und meine Tante besuchen uns oft.,My uncle and my aunt visit us often.
Der Sohn spielt mit seinem Vater.,The son plays with his father.
Die Tochter liebt ihre Mutter.,The daughter loves her mother.
Meine Eltern sind sehr nett.,My parents are very nice.
Mein Mann kommt aus Österreich.,My husband comes from Austria.
Meine Frau arbeitet als Ärztin.,My wife works as a doctor.
Wir haben ein neues Baby.,We have a new baby.
Meine Nachbarin ist sehr freundlich.,My neighbor is very friendly.
Meine Cousine wohnt in Berlin.,My cousin lives in Berlin.
Ich trinke jeden Morgen einen Kaffee.,I drink a coffee every morning.
Möchtest du ein Glas Wasser?,Would you like a glass of water?
Wir essen um sieben Uhr zu Abend.,We eat dinner at seven o'clock.
Das Brot schmeckt sehr gut.,The bread tastes very good.
Ich möchte einen Apfel essen.,I would like to eat an apple.
"Sie kauft Milch, Butter und Käse.","She buys milk, butter, and cheese."
Er trinkt gern ein Bier nach der Arbeit.,He likes to drink a beer after work.
Die Suppe ist noch zu heiß.,The soup is still too hot.
Wir kochen heute Reis mit Gemüse.,We are cooking rice with vegetables today.
Ich mag keinen Fisch.,I do not like fish.
Der Kuchen ist für meine Schwester.,The cake is for my sister.
Bitte gib mir das Salz.,Please give me the salt.
Wir frühstücken um acht Uhr.,We have breakfast at eight o'clock.
Das Restaurant ist heute geschlossen.,The restaurant is closed today.
Ich brauche einen Löffel und eine Gabel.,I need a spoon and a fork.
Der Kaffee ist zu stark für mich.,The coffee is too strong for me.
Wir trinken Tee mit Zucker.,We drink tea with sugar.
Sie isst gerne Obst zum Frühstück.,She likes to eat fruit for breakfast.
Wie spät ist es jetzt?,What time is it now?
Es ist schon zehn Uhr.,It is already ten o'clock.
Heute ist Montag.,Today is Monday.
Morgen ist Dienstag.,Tomorrow is Tuesday.
Am Wochenende arbeite ich nicht.,I do not work on the weekend.
Der Winter ist sehr kalt hier.,The winter is very cold here.
Im Sommer fahren wir ans Meer.,"In the summer, we go to the sea."
Mein Geburtstag ist im April.,My birthday is in April.
Wir haben nächste Woche eine Prüfung.,We have an exam next week.
Ich habe keine Zeit heute.,I do not have time today.
Wir treffen uns um drei Uhr.,We are meeting at three o'clock.
Das Jahr hat zwölf Monate.,The year has twelve months.
Die Woche hat sieben Tage.,The week has seven days.
Der Frühling beginnt im März.,Spring begins in March.
Wir haben am Freitag ein Meeting.,We have a meeting on Friday.
Er kommt immer zu spät.,He always comes too late.
Sie steht jeden Morgen früh auf.,She gets up early every morning.
Ich habe am Sonntag frei.,I am off on Sunday.
Das kostet zehn Euro.,That costs ten euros.
Ich habe nur fünf Euro.,I only have five euros.
Wie viel kostet dieses Buch?,How much does this book cost?
Ich kaufe ein neues Handy.,I am buying a new cell phone.
Wir bezahlen mit einer Kreditkarte.,We pay with a credit card.
Das Geschäft öffnet um neun Uhr.,The store opens at nine o'clock.
Sie verkauft ihr altes Auto.,She is selling her old car.
Ich brauche zwei Kilo Kartoffeln.,I need two kilos of potatoes.
Der Markt ist am Samstag sehr voll.,The market is very crowded on Saturday.
Können Sie mir die Rechnung geben?,Can you give me the bill?
Das ist ein tolles Geschenk für sie.,That is a great gift for her.
Diese Schuhe sind mir zu teuer.,These shoes are too expensive for me.
Unser Haus hat drei Schlafzimmer.,Our house has three bedrooms.
Die Küche ist neben dem Wohnzimmer.,The kitchen is next to the living room.
Ich öffne das Fenster.,I am opening the window.
Bitte schließ die Tür.,Please close the door.
Der Tisch steht in der Küche.,The table is in the kitchen.
Das Bett ist sehr bequem.,The bed is very comfortable.
Wir haben einen kleinen Garten.,We have a small garden.
Wo ist mein Schlüssel?,Where is my key?
Die Lampe steht auf dem Tisch.,The lamp is on the table.
Meine Wohnung ist im dritten Stock.,My apartment is on the third floor.
Der Schrank ist im Schlafzimmer.,The closet is in the bedroom.
Ich lebe seit drei Jahren hier.,I have been living here for three years.
Ich arbeite von Montag bis Freitag.,I work from Monday to Friday.
Meine Schwester lernt an der Universität.,My sister studies at the university.
Der Lehrer erklärt die Aufgabe.,The teacher explains the assignment.
Die Schüler schreiben eine Prüfung.,The students are writing an exam.
Ich lese jeden Abend ein Buch.,I read a book every evening.
Wir lernen zusammen für die Prüfung.,We study together for the exam.
Mein Chef ist heute nicht im Büro.,My boss is not in the office today.
Ich habe morgen einen wichtigen Termin.,I have an important appointment tomorrow.
Sie arbeitet als Ärztin im Krankenhaus.,She works as a doctor in the hospital.
Er sucht eine neue Arbeit.,He is looking for a new job.
Ich schreibe die Antwort auf Deutsch.,I am writing the answer in German.
Wir sprechen jetzt nur Deutsch.,We are speaking only German now.
Verstehst du diese Frage?,Do you understand this question?
Ich verstehe das nicht.,I do not understand that.
Wie ist das Wetter heute?,How is the weather today?
Die Sonne scheint heute sehr hell.,The sun is shining very brightly today.
Es regnet den ganzen Tag.,It is raining all day.
Im Winter schneit es oft.,"In winter, it often snows."
Der Wind ist heute sehr stark.,The wind is very strong today.
Der Himmel ist blau und klar.,The sky is blue and clear.
Wir gehen im Wald spazieren.,We are going for a walk in the forest.
Der Fluss fließt durch die Stadt.,The river flows through the city.
Die Blumen im Garten sind schön.,The flowers in the garden are beautiful.
Wir fahren am Wochenende in die Berge.,We are going to the mountains on the weekend.
Mir tut der Kopf weh.,My head hurts.
Ich habe Halsschmerzen.,I have a sore throat.
Er ist heute krank.,He is sick today.
Sie fühlt sich nicht gut.,She does not feel well.
Ich bin sehr müde heute.,I am very tired today.
Wasch deine Hände vor dem Essen.,Wash your hands before eating.
Ich gehe zum Arzt.,I am going to the doctor.
Meine Augen sind grün.,My eyes are green.
Er hat lange braune Haare.,He has long brown hair.
Nach dem Sport bin ich hungrig und durstig.,After sports I am hungry and thirsty.
Ich bin heute sehr glücklich.,I am very happy today.
Sie ist ein bisschen traurig.,She is a little sad.
Das Kind hat Angst vor dem Hund.,The child is afraid of the dog.
"Wir sind froh, dich zu sehen.",We are glad to see you.
Dieser Film ist sehr langweilig.,This movie is very boring.
Das Buch ist interessant und lustig.,The book is interesting and funny.
"Meine neue Wohnung ist klein, aber schön.","My new apartment is small, but nice."
Er ist immer sehr freundlich zu mir.,He is always very friendly to me.
Diese Aufgabe ist zu schwer für mich.,This assignment is too difficult for me.
Das war ein einfacher Test.,That was an easy test.
Der neue Kollege ist sehr nett.,The new colleague is very nice.
Ich finde diese Stadt sehr schön.,I find this city very beautiful.
Wir fahren nächsten Sommer nach Italien.,We are traveling to Italy next summer.
Der Flughafen ist weit von hier.,The airport is far from here.
Ich kaufe ein Ticket für den Zug.,I am buying a ticket for the train.
Das Hotel liegt direkt am Meer.,The hotel is right by the sea.
Wir besuchen ein berühmtes Museum.,We are visiting a famous museum.
Die Kirche steht auf dem Marktplatz.,The church stands on the market square.
Ich gehe in die Bibliothek.,I am going to the library.
Der Supermarkt ist neben der Bäckerei.,The supermarket is next to the bakery.
Wir nehmen ein Taxi zum Flughafen.,We are taking a taxi to the airport.
Das Krankenhaus ist in der Nähe.,The hospital is nearby.
Ich reise gern mit dem Fahrrad.,I like to travel by bicycle.
Das Schiff fährt heute Abend ab.,The ship departs this evening.
Ich kann gut Deutsch sprechen.,I can speak German well.
Kannst du mir bitte helfen?,Can you please help me?
Wir müssen jetzt nach Hause gehen.,We have to go home now.
Du musst diese Aufgabe machen.,You have to do this assignment.
Ich möchte ein Glas Wasser trinken.,I would like to drink a glass of water.
Wollen wir heute Abend kochen?,Do we want to cook tonight?
Ich will dieses Buch lesen.,I want to read this book.
Darf ich das Fenster öffnen?,May I open the window?
Du darfst hier nicht rauchen.,You are not allowed to smoke here.
Wir sollen um acht Uhr da sein.,We should be there at eight o'clock.
Ich mag keinen Kaffee trinken.,I do not like to drink coffee.
Er kann sehr schnell laufen.,He can run very fast.
Wir müssen den Bus nehmen.,We have to take the bus.
Sie will Ärztin werden.,She wants to become a doctor.
Ich muss meine Hausaufgabe machen.,I have to do my homework.
Kannst du bitte langsamer sprechen?,Can you please speak more slowly?
Ich möchte gern mit dir sprechen.,I would like to speak with you.
Wir können morgen zusammen lernen.,We can study together tomorrow.
Wer ist diese Frau?,Who is this woman?
Was machst du heute?,What are you doing today?
Wo ist die nächste Apotheke?,Where is the nearest pharmacy?
Wann beginnt der Unterricht?,When does the lesson begin?
Warum bist du so müde?,Why are you so tired?
Wie viele Kinder habt ihr?,How many children do you have?
Welche Farbe magst du?,Which color do you like?
Wie komme ich zum Bahnhof?,How do I get to the train station?
Wie lange dauert die Reise?,How long does the trip take?
Wem gehört dieses Auto?,Whose car is this?
Der Hund läuft im Garten.,The dog is running in the garden.
Die Katze schläft auf dem Sofa.,The cat is sleeping on the sofa.
Die Vögel singen am Morgen.,The birds sing in the morning.
Auf dem Bauernhof gibt es Kühe und Schweine.,There are cows and pigs on the farm.
Mein Lieblingstier ist das Pferd.,My favorite animal is the horse.
Ich trage heute ein blaues Hemd.,I am wearing a blue shirt today.
Sie kauft einen roten Mantel.,She is buying a red coat.
Meine Schuhe sind schwarz und weiß.,My shoes are black and white.
Er trägt eine neue Jacke.,He is wearing a new jacket.
Dieses Kleid ist wirklich schön.,This dress is really beautiful.
Ich brauche einen warmen Mantel im Winter.,I need a warm coat in winter.
Welche Farbe hat dein Auto?,What color is your car?
"Ich stehe jeden Morgen um sechs Uhr auf, weil ich früh arbeiten muss.",I get up at six o'clock every morning because I have to work early.
"Wenn das Wetter morgen schön ist, gehen wir in den Park.","If the weather is nice tomorrow, we will go to the park."
"Meine Schwester sagt, dass sie heute keine Zeit hat.",My sister says that she has no time today.
"Ich glaube, dass dieses Restaurant sehr gut ist.",I believe that this restaurant is very good.
"Er fragt mich, wo der Bahnhof ist.",He asks me where the train station is.
"Wir wissen nicht, wann der Zug ankommt.",We do not know when the train arrives.
"Sie kauft Brot, Milch und Eier im Supermarkt.","She buys bread, milk, and eggs at the supermarket."
"Nachdem wir gegessen haben, gehen wir spazieren.","After we have eaten, we go for a walk."
"Ich brauche ein neues Handy, weil mein altes kaputt ist.",I need a new phone because my old one is broken.
"Obwohl es kalt ist, spielen die Kinder draußen.","Although it is cold, the children play outside."
Ich zähle von eins bis zehn.,I count from one to ten.
Wir sind zu viert in der Familie.,There are four of us in the family.
Sie hat drei Kinder und einen Hund.,She has three children and a dog.
Ich trinke lieber Tee als Kaffee.,I prefer to drink tea over coffee.
Der Zug hat zwölf Wagen.,The train has twelve cars.
Ich arbeite seit fünf Jahren in dieser Firma.,I have worked at this company for five years.
Er ruft seine Mutter jeden Sonntag an.,He calls his mother every Sunday.
Bitte schick mir eine Nachricht.,Please send me a message.
Ich schreibe ihr einen langen Brief.,I am writing her a long letter.
Können wir morgen telefonieren?,Can we talk on the phone tomorrow?
Ich habe deine E-Mail noch nicht gelesen.,I have not read your email yet.
Wir sprechen oft über die Arbeit.,We often talk about work.
Er lacht immer über meine Witze.,He always laughs at my jokes.
"Das Baby weint, weil es müde ist.",The baby is crying because it is tired.
Wir singen zusammen ein schönes Lied.,We are singing a beautiful song together.
Sie tanzt sehr gern auf Partys.,She likes to dance at parties very much.
Ich vergesse oft meinen Schlüssel.,I often forget my key.
Bitte vergiss deine Hausaufgabe nicht.,Please do not forget your homework.
"Wir hoffen, dass das Wetter morgen gut ist.",We hope that the weather is good tomorrow.
Ich wünsche dir alles Gute zum Geburtstag.,I wish you all the best for your birthday.
Der Lehrer zeigt uns ein neues Wort.,The teacher shows us a new word.
Ich zeige dir mein neues Zimmer.,I will show you my new room.
Wir suchen ein günstiges Hotel.,We are looking for an affordable hotel.
Sie findet ihre Tasche nicht.,She cannot find her bag.
Ich habe meine Brille verloren.,I have lost my glasses.
Er gewinnt fast jedes Spiel.,He wins almost every game.
Wir verlieren das Spiel dieses Mal.,We are losing the game this time.
Meine Kollegin bringt heute einen Kuchen.,My colleague is bringing a cake today.
Ich bringe dir morgen das Buch.,I will bring you the book tomorrow.
Er trägt einen schweren Koffer.,He is carrying a heavy suitcase.
Die Kinder tragen ihre Schultaschen.,The children are carrying their school bags.
